"date","county","result","count"
2020-04-20,"San Mateo","positive",22
2020-04-20,"San Mateo","negative",353
2020-04-21,"San Mateo","positive",4
2020-04-21,"San Mateo","negative",226
2020-04-22,"San Mateo","positive",4
2020-04-22,"San Mateo","negative",11
2020-04-23,"San Mateo","positive",23
2020-04-23,"San Mateo","negative",525
2020-04-24,"San Mateo","positive",3
2020-04-24,"San Mateo","negative",186
2020-04-25,"San Mateo","positive",3
2020-04-25,"San Mateo","negative",29
2020-04-26,"San Mateo","positive",9
2020-04-26,"San Mateo","negative",21
2020-03-17,"Santa Clara","positive",23
2020-03-17,"Santa Clara","negative",174
2020-03-18,"Santa Clara","positive",21
2020-03-18,"Santa Clara","negative",263
2020-03-19,"Santa Clara","positive",34
2020-03-19,"Santa Clara","negative",350
2020-03-20,"Santa Clara","positive",52
2020-03-20,"Santa Clara","negative",311
2020-03-21,"Santa Clara","positive",43
2020-03-21,"Santa Clara","negative",333
2020-03-22,"Santa Clara","positive",50
2020-03-22,"Santa Clara","negative",392
2020-03-23,"Santa Clara","positive",50
2020-03-23,"Santa Clara","negative",466
2020-03-24,"Santa Clara","positive",60
2020-03-24,"Santa Clara","negative",635
2020-03-25,"Santa Clara","positive",73
2020-03-25,"Santa Clara","negative",676
2020-03-26,"Santa Clara","positive",54
2020-03-26,"Santa Clara","negative",529
2020-03-27,"Santa Clara","positive",80
2020-03-27,"Santa Clara","negative",669
2020-03-28,"Santa Clara","positive",69
2020-03-28,"Santa Clara","negative",676
2020-03-29,"Santa Clara","positive",53
2020-03-29,"Santa Clara","negative",644
2020-03-30,"Santa Clara","positive",52
2020-03-30,"Santa Clara","negative",479
2020-03-31,"Santa Clara","positive",73
2020-03-31,"Santa Clara","negative",560
2020-04-01,"Santa Clara","positive",63
2020-04-01,"Santa Clara","negative",664
2020-04-02,"Santa Clara","positive",56
2020-04-02,"Santa Clara","negative",501
2020-04-03,"Santa Clara","positive",46
2020-04-03,"Santa Clara","negative",516
2020-04-04,"Santa Clara","positive",52
2020-04-04,"Santa Clara","negative",578
